Id,Course,Topic,Original Problem,Codex Input,Solution,Codex Code,Codex Code Explanation,Output Evaluation,Solution Type,Nearest Questions,GPT-3 Response,GPT-3 Evaluation
1,MATH,Prealgebra,"At Frank's Fruit Market, 3 bananas cost as much as 2 apples, and 6 apples cost as much as 4 oranges. How many oranges cost as much as 18 bananas?","We have 18 bananas.
apples to bananas rate: 2/3. 
oranges to apples rate: 4/6.
Write a program to exchange bananas for apples.
Then use that answer to create a program to exchange apples for oranges.",8,"bananas = 18
apples = bananas * 2/3
oranges = apples * 4/6

print(""We have"", bananas, ""bananas."")
print(""We have"", apples, ""apples."")
print(""We have"", oranges, ""oranges."")

print(""We can exchange"", bananas, ""bananas for"", apples, ""apples."")
print(""We can exchange"", apples, ""apples for"", oranges, ""oranges."")","1. We have 18 bananas.
2. We can exchange 18 bananas for 12 apples.
3. We can exchange 12 apples for 8 oranges.",Correct,Manual,"[14, 11, 13, 15, 2, 6, 3, 7, 5, 10, 4, 12, 8, 9]",36 oranges,Incorrect
2,MATH,Prealgebra,How many different primes are in the prime factorization of 87*89*91*93?,How many different primes are in the prime factorization of 87*89*91*93?,6,"from math import sqrt

def is_prime(n):
    if n == 2:
        return True
    if n % 2 == 0:
        return False
    for i in range(3, int(sqrt(n)) + 1, 2):
        if n % i == 0:
            return False
    return True

def prime_factors(n):
    factors = []
    for i in range(2, int(sqrt(n)) + 1):
        if is_prime(i) and n % i == 0:
            factors.append(i)
    return factors

def main():
    n = 87 * 89 * 91 * 93
    print(len(set(prime_factors(n))))

if __name__ == '__main__':
    main()","1. We define a function that checks if a number is prime.
2. We define a function that returns a list of prime factors of a number.
3. We define a function that calls the previous two functions and prints the length of the set of prime factors.
The set() function returns a set of unique elements from a list.
The main() function is called at the bottom of the code.",Correct,Automatic Zero-shot,"[3, 7, 12, 10, 5, 14, 4, 8, 1, 13, 6, 9, 11, 15]",There are six different primes in the prime factorization of 87*89*91*93.,Correct
3,MATH,Prealgebra,"What is the greatest common factor of 84, 112 and 210?","What is the greatest common factor of 84, 112 and 210?",14,"def gcd(a, b):
    if b == 0:
        return a
    return gcd(b, a % b)

def main():
    print(gcd(84, gcd(112, 210)))

if __name__ == '__main__':
    main()","1. The function gcd(a, b) is a recursive function that returns the greatest common divisor of a and b.
2. The function gcd(a, b) is called with the arguments 84 and gcd(112, 210).
3. The function gcd(a, b) is called with the arguments 112 and gcd(210, 112).
4. The function gcd(a, b) is called with the arguments 210 and gcd(112, 98).
5. The function gcd(a, b) is called with the arguments 112 and gcd(98, 14).
6. The function gcd(a, b) is called with the arguments 98 and gcd(14, 0).",Correct,Automatic Few-shot,"[2, 7, 12, 10, 8, 5, 4, 14, 9, 1, 13, 6, 15, 11]","The greatest common factor of 84, 112 and 210 is 84.",Incorrect
4,MATH,Prealgebra,Find the smallest positive a such that a is a multiple of 4 and a is a multiple of 14.,Find the smallest positive a such that a is a multiple of 4 and a is a multiple of 14.,28,"def smallest_multiple(n1, n2):
    """"""
    Find the smallest positive a such that a is a multiple of n1 and a is a multiple of n2.
    """"""
    a = 1
    while True:
        if a % n1 == 0 and a % n2 == 0:
            return a
        a += 1

print(smallest_multiple(4, 14))","1. It starts with a = 1.
2. It checks if a is a multiple of 4 and a is a multiple of 14.
3. If it is, it returns a.
4. If it isn't, it adds 1 to a and goes back to step 2.",Correct,Automatic Zero-shot,"[10, 5, 3, 7, 2, 8, 14, 12, 9, 13, 1, 6, 11, 15]",56,Incorrect
5,MATH,Prealgebra,How many four-digit positive integers are there with thousands digit 2?,Write a program that determines how many four-digit positive integers there are with thousands digit 2.,1000,"def main():
    count = 0
    for i in range(1000, 10000):
        if str(i)[0] == '2':
            count += 1
    print(count)

if __name__ == '__main__':
    main()","1. We create a variable called count and set it to 0.
2. We create a for loop that iterates through the range of 1000 to 10000.
3. We check if the first digit of the number is 2.
4. If it is, we add 1 to the count variable.
5. We print the count variable.",Correct,Automatic Zero-shot,"[2, 10, 7, 4, 12, 3, 14, 8, 9, 13, 1, 6, 11, 15]","There are 1,000 four-digit positive integers with thousands digit 2.",Correct
6,MATH,Prealgebra,"The 5 a.m. temperatures for seven consecutive days were -7 degrees, -4 degrees, -4 degrees, -5 degrees, 1 degree, 3 degrees and 2 degrees Celsius. What is the mean 5 a.m. temperature for the week in degrees Celsius?","The 5 a.m. temperatures for seven consecutive days were -7 degrees, -4 degrees, -4 degrees, -5 degrees, 1 degree, 3 degrees and 2 degrees Celsius. Write a program that finds the mean 5 a.m. temperature for the week in degrees Celsius.",-2,"temps = [-7, -4, -4, -5, 1, 3, 2]

mean = sum(temps) / len(temps)

print(mean)","1. We create a list of temperatures.
2. We use the sum() function to add up all the temperatures in the list.
3. We use the len() function to count the number of temperatures in the list.
4. We divide the sum of the temperatures by the number of temperatures to find the mean.
5. We print the mean.",Correct,Automatic Zero-shot,"[14, 1, 13, 11, 2, 7, 15, 4, 3, 10, 5, 8, 12, 9]",The mean 5 a.m. temperature for the week in degrees Celsius is -2.,Correct
7,MATH,Prealgebra,What is the value of sqrt(36*sqrt(16))?,What is the value of sqrt(36*sqrt(16))?,12,"import math

print(math.sqrt(36*math.sqrt(16)))","1. import math
2. def main():
3. print(math.sqrt(36*math.sqrt(16)))
4. if __name__ == ""__main__"":
5. main()",Correct,Automatic Zero-shot,"[2, 3, 8, 12, 10, 5, 9, 4, 14, 1, 13, 6, 15, 11]",The value of sqrt(36*sqrt(16)) is 12.,Correct
8,MATH,Prealgebra,Calculate 8 divided by 1/8.,Calculate 8 divided by 1/8.,64,print(8 / (1 / 8)),1. 8 / (1 / 8),Correct,Automatic Zero-shot,"[7, 3, 9, 12, 10, 2, 4, 5, 14, 1, 15, 13, 6, 11]",8 divided by 1/8 is equal to 64.,Correct
9,MATH,Prealgebra,What is 5/6 of 30?,What is 5/6 of 30?,25,print(5/6*30),"1. The first line is a comment. Comments are ignored by the computer.
2. The second line is a print statement. It prints the string ""What is 5/6 of 30?"" to the screen.",Correct,Automatic Zero-shot,"[7, 8, 10, 12, 3, 5, 2, 4, 14, 6, 13, 15, 1, 11]",5/6 of 30 is 25.,Correct
10,MATH,Prealgebra,What is the sum of the prime numbers between 10 and 20?,Write a program that finds the sum of the prime numbers between 10 and 20.,60,"def is_prime(n):
    if n == 2 or n == 3:
        return True
    if n < 2 or n % 2 == 0:
        return False
    if n < 9:
        return True
    if n % 3 == 0:
        return False
    r = int(n ** 0.5)
    f = 5
    while f <= r:
        if n % f == 0:
            return False
        if n % (f + 2) == 0:
            return False
        f += 6
    return True

sum = 0
for i in range(10, 21):
    if is_prime(i):
        sum += i

print(sum)","1. We define a function called is_prime that takes in a number n.
2. We check if n is 2 or 3, and if so, we return True.
3. We check if n is less than 2 or if n is divisible by 2, and if so, we return False.
4. We check if n is less than 9, and if so, we return True.
5. We check if n is divisible by 3, and if so, we return False.
6. We find the square root of n and store it in r.
7. We set f to 5.
8. We enter a while loop that runs as long as f is less than or equal to r.
9. We check if n is divisible by f, and if so, we return False.
10. We check if n is divisible by f + 2, and if so, we return False.
11. We increment f by 6.
12. We return True.
13. We set sum to 0.
14. We enter a for loop that runs from 10 to 21.
15. We check if i is prime, and if so, we add it to sum.
16. We print sum.",Correct,Manual,"[2, 7, 12, 3, 5, 4, 9, 8, 14, 13, 1, 6, 15, 11]","There are six prime numbers between 10 and 20: 11, 13, 17, 19, 23, 29. The sum of these numbers is 116.",Incorrect
