Id,Course,Topic,Original Problem,Codex Input,Solution,Codex Code,Codex Code Explanation,Output Evaluation,Solution Type,GPT-3 Response,GPT-3 Evaluation,Nearest Questions
1,Linear Algebra,Matrix Algebra,"Notation: ' means transpose, * means matrix product, . means inner product
Compute the following expression: ([-1,0,2; 0,1,4]'*[-2;1]).([3,1;0,0;-2,-1]*([5,-3]+[-4,2])')","Notation: ' means transpose, * means matrix product, . means inner product
Compute the following expression: ([-1,0,2; 0,1,4]'*[-2;1]).([3,1;0,0;-2,-1]*([5,-3]+[-4,2])')",4,"import numpy as np

a = np.array([[-1,0,2],[0,1,4]])
b = np.array([[-2],[1]])
c = np.array([[3,1],[0,0],[-2,-1]])
d = np.array([[5],[-3]])
e = np.array([[-4],[2]])

print(np.dot(np.transpose(a),b))
print(np.dot(c,(d+e)))","1. np.transpose(a) is the transpose of a
2. np.dot(np.transpose(a),b) is the dot product of the transpose of a and b
3. np.dot(c,(d+e)) is the dot product of c and the sum of d and e
4. np.dot(np.transpose(a),b).np.dot(c,(d+e)) is the dot product of the dot product of the transpose of a and b and the dot product of c and the sum of d and e",Correct,Manual,"([-1,0,2; 0,1,4]'*[-2;1]).([3,1;0,0;-2,-1]*([5,-3]+[-4,2])')
= ([-1,0,2; 0,1,4]'*[-2;1]).([3,1;0,0;-2,-1]*[1, -1; -1, 1])
= ([-1,0,2; 0,1,4]'*[-2;1]).([3,1;0,0;-2,-1]*[0;0])
= ([-1,0,2; 0,1,4]'*[-2;1]).([0;0;0])
= ([-1,0,2; 0,1,4]'*[-2;1]).([0;0])
= [0;0]",Incorrect,"[22, 7, 14, 19, 8, 18, 20, 11, 16, 17, 21, 6, 23, 15, 9, 24, 10, 12, 13, 3, 2, 27, 26, 25, 28, 29, 5, 30, 4]"
2,Linear Algebra,"Vectors, Lengths and Dot products",Compute the squared L2 norm of the vector [1;-4;2;8;-1],Compute the squared L2 norm of the vector [1;-4;2;8;-1],86,"import numpy as np

x = np.array([1, -4, 2, 8, -1])

print(np.linalg.norm(x)**2)","1. Create a numpy array x with the values [1, -4, 2, 8, -1]
2. Use the numpy.linalg.norm function to compute the L2 norm of x
3. Square the result",Correct,Automatic Zero-shot,The squared L2 norm of the vector [1;-4;2;8;-1] is 85.,Incorrect,"[13, 25, 8, 10, 18, 19, 29, 14, 21, 12, 16, 17, 24, 22, 27, 9, 23, 28, 11, 7, 15, 26, 20, 30, 1, 3, 6, 5, 4]"
3,Linear Algebra,Solving Linear System of Equations,"Find a solution to the following system of four equations:
     4x - 2y  +  8z   +   w  =  3
    -8x + 10y +          3w  = -2
     3x - 1y  +  10z  +  5w  = -1
     2x + 2y  +  9z   -  2w  =  8","Find a solution to the following system of four equations:
     4x - 2y  +  8z   +   w  =  3
    -8x + 10y +          3w  = -2
     3x - 1y  +  10z  +  5w  = -1
     2x + 2y  +  9z   -  2w  =  8","x=11/4, y=97/44, z=-4/11, w=-15/22","import numpy as np

A = np.array([[4, -2, 8, 1], [-8, 10, 0, 3], [3, -1, 10, 5], [2, 2, 9, -2]])
b = np.array([3, -2, -1, 8])

x = np.linalg.solve(A, b)

print(x)","1. We create a matrix A and a vector b.
2. We use the solve function to find the solution to the system of equations.
3. We print the solution.",Correct,Automatic Zero-shot,"x = 1, y = 2, z = -1, w = 3",Incorrect,"[15, 11, 16, 17, 22, 21, 14, 19, 23, 18, 6, 8, 20, 24, 28, 9, 1, 12, 27, 13, 26, 10, 2, 7, 4, 29, 25, 5, 30]"
4,Linear Algebra,Solving Linear System of Equations,"A mining company has two mines. One day's operation at mine A produces ore that contains 10 metric tons of copper and 120 kilograms of silver, while one day's operation at mine B produces ore containing 6 metric tons of copper and 140 kilograms of silver. Let a=[10;120] and b=[6;140]. Then a and b represent the daily output of mines A and B, respectively. Suppose that the mining company operates mine A for x days and mine B for y days.
Calculate how many number of days each mine should operate in order to produce 72 tons of copper and 1340 kilograms of silver.","A mining company has two mines. One day's operation at mine A produces ore that contains 10 metric tons of copper and 120 kilograms of silver, while one day's operation at mine B produces ore containing 6 metric tons of copper and 140 kilograms of silver. Let a=[10;120] and b=[6;140]. Then a and b represent the daily output of mines A and B, respectively. Suppose that the mining company operates mine A for x days and mine B for y days.
Calculate how many number of days each mine should operate in order to produce 72 tons of copper and 1340 kilograms of silver.","x=3, y=7","from sympy import *

x, y = symbols('x y')

a = Matrix([10, 120])
b = Matrix([6, 140])

c = Matrix([72, 1340])

print(solve([a[0]*x + b[0]*y - c[0], a[1]*x + b[1]*y - c[1]], [x, y]))","1. We're creating two variables, x and y, and assigning them to the symbols 'x' and 'y'
2. We're creating three matrices, a, b, and c, and assigning them to the values [10, 120], [6, 140], and [72, 1340]
3. We're using the solve function to solve the system of equations a[0]*x + b[0]*y - c[0] and a[1]*x + b[1]*y - c[1] for x and y
4. We're printing the solution to the system of equations",Correct,Automatic Few-shot(1),"Let x be the number of days mine A operates and y be the number of days mine B operates.

We want to find x and y such that:
10x+6y=72
120x+140y=1340

This can be rewritten as:
10x+6y-72=0
120x+140y-1340=0

This is a system of linear equations that can be solved using substitution or elimination.

Using substitution, we can solve for y in the first equation and substitute this into the second equation.

10x+6y-72=0
10x=-6y+72
y=(10/6)x-(72/6)
y=(5/3)x-12

120x+140(5/3)x-12(140)-1340=0
120x+700x/3-1680-1340=0
120x+700x/3-3020=0
700x/3+120x-3020=0
700x/3+120x-3020=0
700x/3=3020-120x
700x/3=2800
x=4000/21

y=(5/3)(4000/21)-12
y=1666.667-12
y=1654.667

Therefore, mine A should operate for 4000/21 days and mine B should operate for 1654.667 days.",Incorrect,"[15, 3, 11, 17, 22, 16, 14, 6, 24, 19, 23, 20, 9, 18, 8, 12, 7, 21, 26, 1, 28, 5, 27, 29, 10, 13, 2, 30, 25]"
5,Linear Algebra,"Vectors, Lengths and Dot products","At noon, the minute and the hour hands of an analog clock coincide. What is the angle (in degrees) subtended by the minute and hour hands of an analog clock at 1:15?","At noon, the minute and the hour hands of an analog clock coincide. What is the angle (in degrees) subtended by the minute and hour hands of an analog clock at 1:15?",52.5,"def angle(h, m):
    h_angle = (h * 30) + (m * 0.5)
    m_angle = m * 6
    return abs(h_angle - m_angle)

print(angle(1, 15))","1. The hour hand moves 30 degrees every hour.
2. The minute hand moves 6 degrees every minute.
3. The hour hand moves 0.5 degrees every minute.",Correct,Automatic Zero-shot,The angle between the minute and hour hands at 1:15 is 90 degrees.,Incorrect,"[26, 9, 12, 28, 8, 24, 21, 10, 23, 14, 27, 15, 7, 29, 17, 19, 16, 22, 18, 20, 13, 2, 11, 6, 30, 25, 3, 1, 4]"
6,Linear Algebra,Matrix Algebra,"For what matrix R, the following matrix equation is satisfied?
R*[1,0,0,0,0;1,1,0,0,0;1,2,1,0,0;1,3,3,1,0;1,4,6,4,1]=[1,0,0,0,0;0,1,0,0,0;0,1,1,0,0;0,1,2,1,0;0,1,3,3,1]","For what matrix R, the following matrix equation is satisfied?
R*[1,0,0,0,0;1,1,0,0,0;1,2,1,0,0;1,3,3,1,0;1,4,6,4,1]=[1,0,0,0,0;0,1,0,0,0;0,1,1,0,0;0,1,2,1,0;0,1,3,3,1]","[1,0,0,0,0;-1,1,0,0,0;0,-1,1,0,0;0,0,-1,1,0;0,0,0,-1,1]","import numpy as np

A = np.array([[1,0,0,0,0],[1,1,0,0,0],[1,2,1,0,0],[1,3,3,1,0],[1,4,6,4,1]])
B = np.array([[1,0,0,0,0],[0,1,0,0,0],[0,1,1,0,0],[0,1,2,1,0],[0,1,3,3,1]])

R = np.linalg.inv(A) @ B

print(R)","1. We create two matrices A and B.
2. We calculate the inverse of A and multiply it with B.
3. We print the result.",Correct,Automatic Zero-shot,"R = [1,0,0,0,0;0,1,0,0,0;0,0,1,0,0;0,0,0,1,0;0,0,0,0,1]",Incorrect,"[23, 15, 20, 11, 22, 17, 16, 8, 14, 21, 18, 24, 19, 1, 3, 9, 7, 12, 28, 27, 26, 13, 10, 2, 25, 5, 29, 30, 4]"
7,Linear Algebra,"Rank, Basis and Dimension","Notation: ' means transpose, * means matrix product
Given a d-dimensional non-zero vector v, compute the rank of the matrix v*v'","Notation: ' means transpose, * means matrix product
Given a d-dimensional non-zero vector v, write a program that computes the rank of the matrix v*v'",1,"import numpy as np

def rank(v):
    """"""
    Computes the rank of the matrix v*v'
    :param v: a d-dimensional non-zero vector
    :return: the rank of the matrix v*v'
    """"""
    return np.linalg.matrix_rank(np.outer(v, v))

if __name__ == ""__main__"":
    v = np.array([1, 2, 3])
    print(rank(v))","1. It defines a function called rank that takes a vector v as input and returns the rank of the matrix v*v'
2. It defines a vector v = [1, 2, 3]
3. It prints the rank of the matrix v*v'",Correct,Automatic Zero-shot,The rank of the matrix v*v' is 1.,Correct,"[8, 14, 18, 1, 17, 22, 19, 23, 16, 12, 10, 21, 15, 11, 24, 27, 9, 13, 2, 20, 26, 6, 25, 29, 28, 30, 5, 3, 4]"
8,Linear Algebra,Four Fundamental Subspaces of a Matrix,"Compute the dimension of the null space of the following matrix. [1,2,0,-1;-2,-3,4,5;2,4,0,-2]","Compute the dimension of the null space of the following matrix. [1,2,0,-1;-2,-3,4,5;2,4,0,-2]",2,"import numpy as np

A = np.array([[1,2,0,-1],[-2,-3,4,5],[2,4,0,-2]])

print(np.linalg.matrix_rank(A))","1. We import the numpy library as np.
2. We create a numpy array called A.
3. We print the rank of the matrix A.",Correct,Automatic Zero-shot,The dimension of the null space of the matrix is 2.,Correct,"[21, 14, 22, 16, 19, 13, 12, 18, 17, 24, 23, 2, 20, 11, 10, 9, 15, 28, 27, 29, 26, 7, 1, 6, 25, 3, 30, 5, 4]"
9,Linear Algebra,"Vectors, Basis","What are the coordinates of the vector [2;1] in the following basis?
[2,-1/2],[1,1]","What are the coordinates of the vector [2,1] in the basis [2,-1/2],[1,1]
Use sympy to solve:
2*x + y = 2
-0.5*x + y = 1","[0.4, 1.2]","from sympy import *

x, y = symbols('x y')

eq1 = Eq(2*x + y, 2)
eq2 = Eq(-0.5*x + y, 1)

solve([eq1, eq2], [x, y])","1. We are creating two symbols, x and y
2. We are creating two equations, eq1 and eq2
3. We are solving the system of equations for x and y",Correct,Manual,"The coordinates of the vector [2;1] in the basis [2,-1/2],[1,1] are [1;2].",Incorrect,"[24, 18, 16, 17, 19, 8, 14, 22, 23, 11, 20, 21, 15, 12, 13, 26, 10, 29, 2, 7, 28, 27, 6, 25, 1, 5, 3, 30, 4]"
10,Linear Algebra,Orthogonality and Projections,Compute the orthogonal projection of the vector [-6;4] onto the line spanned by the vector [3;2],Compute the orthogonal projection of the vector [-6;4] onto the line spanned by the vector [3;2],[-30/13;-20/13],"import numpy as np

# Define the vector
v = np.array([-6, 4])

# Define the line
l = np.array([3, 2])

# Compute the projection
proj = (np.dot(v, l) / np.dot(l, l)) * l

# Print the result
print(proj)","1. We define the vector v and the line l.
2. We compute the projection of v onto l by taking the dot product of v and l, dividing by the dot product of l and l, and then multiplying by l.
3. We print the result.",Correct,Automatic Zero-shot,The orthogonal projection of the vector [-6;4] onto the line spanned by the vector [3;2] is [-2;1].,Incorrect,"[12, 27, 2, 21, 13, 8, 14, 26, 19, 18, 29, 16, 24, 9, 22, 28, 17, 23, 11, 25, 7, 20, 15, 1, 30, 5, 3, 6, 4]"
