Id,Course,Topic,Original Problem,Codex Input,Solution,Codex Code,Codex Code Explanation,Output Evaluation,Solution Type,GPT-3 Response,GPT-3 Evaluation,Nearest Questions
1,Multivariable Calculus,Polar Coordinates,Sketch the graph of the polar equation. Indicate any symmetries around either coordinate axis or the origin. r = (2 + 7*sin(theta))*(cos(5*theta)),Write a function using matplotlib to plot the graph of the polar equation r = (2 + 7*sin(theta))*(cos(5*theta)),"import numpy as np
import matplotlib.pyplot as plt

def polar_eq(theta):
    return (2 + 7*np.sin(theta))*(np.cos(5*theta))

theta = np.linspace(0, 2*np.pi, 100)

plt.polar(theta, polar_eq(theta))
plt.show()","import numpy as np
import matplotlib.pyplot as plt

def polar_eq(theta):
    return (2 + 7*np.sin(theta))*(np.cos(5*theta))

theta = np.linspace(0, 2*np.pi, 100)

plt.polar(theta, polar_eq(theta))
plt.show()","1. Importing numpy and matplotlib.pyplot
2. Defining a function that takes theta as an argument
3. Creating a list of 100 evenly spaced values between 0 and 2pi
4. Plotting the polar equation",Correct,Automatic Zero Shot,The graph has symmetry around the origin and the y-axis.,Incorrect,"[3, 7, 23, 18, 2, 21, 6, 24, 12, 16, 8, 4, 11, 10, 9, 19, 14, 15, 22, 25, 5, 13, 20, 17]"
2,Multivariable Calculus,Analytical Geometry & Polar Coordinates,Find the center and radius of the circle described in the given equation. x^2 + 2x + y^2 = 4,Using Sympy Find the center and radius of the circle described in the given equation. x^2 + 2x + y^2 = 4,"Center (-1,0), radius sqrt(5)","import sympy as sp

x, y = sp.symbols('x y')

# Equation of the circle
eq = x**2 + 2*x + y**2 - 4

# Solving the equation
sol = sp.solve(eq, y)

# Printing the solution
print(sol)

# Finding the center
center = sp.solve(eq, x)
print(center)

# Finding the radius
radius = sp.sqrt(center[0]**2 + sol[0]**2)
print(radius)","1. We import the sympy library and the symbols function.
2. We define the equation we want to find the radius and center of.
3. We create a Circle object from the equation.
4. We print the radius and center of the circle.",Correct,Automatic Zero Shot,"The center of the circle is at (1, 0) and the radius is √3.",Incorrect,"[8, 24, 4, 7, 12, 6, 11, 21, 23, 16, 22, 19, 20, 5, 10, 14, 1, 15, 3, 9, 13, 25, 18, 17]"
3,Multivariable Calculus,Polar Coordinates,Sketch the graph of the polar equation. Indicate any symmetries around either coordinate axis or the origin. r = 3*theta (spiral of Archimedes),Write a function using matplotlib to plot the graph of the polar equation r = 3*theta (spiral of Archimedes).,Spiral of Archimedes Graph,"import numpy as np
import matplotlib.pyplot as plt

theta = np.arange(0, 2*np.pi, 0.01)
r = 3*theta

plt.polar(theta, r)
plt.show()","1. Importing the numpy and matplotlib.pyplot modules.
2. Creating a range of values for theta from 0 to 2π with an increment of 0.01.
3. Creating a range of values for r from 0 to 30 with an increment of 0.01.
4. Creating a polar plot using the polar() function.
5. Showing the plot using the show() function.",Correct,Automatic Zero Shot,The graph of the polar equation is a spiral of Archimedes. There is no symmetry around either coordinate axis or the origin.,Incorrect,"[1, 7, 8, 23, 18, 2, 19, 21, 6, 16, 24, 11, 12, 10, 14, 4, 9, 25, 22, 5, 13, 15, 20, 17]"
4,Multivariable Calculus,Area Computations in Polar Coordinates,Find the area bounded by the given curve. r = 2*cos(theta),"f(theta)=2*cos(theta)
Using Sympy, starting from 0, find the first two points that f(theta)=0 and set teh solutions to a and b.
Use the solution to Integrate f(theta)**2/2 from a to b.",pi,"from sympy import *

theta = Symbol('theta')
f = 2*cos(theta)

a = solve(f, theta)
print(a)

b = integrate(f**2/2, (theta, a[0], a[1]))
print(b)","1. The first line imports the sympy library.
2. The second line defines the function f(theta) as 2*cos(theta).
3. The third line defines the symbol theta.
4. The fourth line uses the solve() function to find the two values of theta that make f(theta)=0.
5. The fifth line uses the integrate() function to find the area under the curve from a to b.",Correct,Manual,The area is 8π.,Incorrect,"[6, 12, 2, 20, 8, 21, 22, 5, 24, 19, 13, 16, 7, 14, 1, 9, 17, 11, 10, 15, 3, 23, 25, 18]"
5,Multivariable Calculus,Parametric Curves,"Eliminate the parameter and then sketch the curve. x = e^t, y = 4e^2t","Plot the parametric curve. x = e^t, y = 4e^2t",Graph,"import numpy as np
import matplotlib.pyplot as plt

t = np.linspace(-2, 2, 100)
x = np.exp(t)
y = 4 * np.exp(2 * t)

plt.plot(x, y)
plt.show()","1. Importing the numpy and matplotlib.pyplot modules.
2. Defining the t array.
3. Defining the x and y arrays.
4. Plotting the curve.",Correct,Manual,y = 4e^2t,Incorrect,"[2, 20, 22, 8, 4, 24, 6, 12, 7, 11, 19, 16, 13, 23, 21, 14, 17, 9, 3, 15, 10, 1, 25, 18]"
6,Multivariable Calculus,Integral Computations with Parametric Curves,"Find the arc length of the given curve. x = 2t, y = 2/3*t^(3/2), 5<=t<=12","Find the arc length of the given curve. x = 2t, y = 2/3*t^(3/2), 5<=t<=12",74/3,"import sympy as sp

t = sp.Symbol('t')
x = 2*t
y = 2/3*t**(3/2)

dx = sp.diff(x, t)
dy = sp.diff(y, t)

ds = sp.sqrt(dx**2 + dy**2)

print(sp.integrate(ds, (t, 5, 12)))","1. Define x and y as functions of t
2. Define dx and dy as the derivatives of x and y with respect to t
3. Define ds as the magnitude of dx and dy
4. Integrate ds from 5 to 12",Correct,Automatic Zero Shot,The arc length of the given curve is approximately 33.4.,Incorrect,"[8, 4, 21, 2, 19, 7, 12, 24, 22, 11, 17, 16, 10, 23, 5, 20, 14, 25, 13, 1, 3, 15, 9, 18]"
7,Multivariable Calculus,Parabola,"Sketch the parabola with the given equation. Show and label its vertex, focus, axis, and directrix. y^2 = 12x","Use least squares to find a second order polynomial passing through points (2. 3), (4, 3), and (6,-5).
Use polynomial matrix.
Then use python to print(f'{c[0]}+{c[1]}x+{c[2]}x**2')",-x**2+6*x-5,"import numpy as np

x = np.array([2, 4, 6])
y = np.array([3, 3, -5])

A = np.array([[1, x[0], x[0]**2],
              [1, x[1], x[1]**2],
              [1, x[2], x[2]**2]])

b = np.array([y[0], y[1], y[2]])

c = np.linalg.solve(A, b)

print(f'{c[0]}+{c[1]}x+{c[2]}x**2')","1. Create a numpy array of x values
2. Create a numpy array of y values
3. Create a numpy array of ones with the same length as x and y
4. Create a numpy array of x values squared
5. Create a numpy array of x values cubed
6. Create a numpy array of the values of the matrix A
7. Create a numpy array of the values of the vector b
8. Solve the system of equations
9. Print the values of the coefficients",Correct,Manual,"The parabola has a vertex at (0,0), a focus at (0,6), an axis at y=0, and a directrix at y=-6.",Incorrect,"[2, 24, 1, 6, 8, 12, 3, 23, 18, 9, 16, 5, 4, 11, 21, 22, 14, 19, 10, 20, 13, 15, 25, 17]"
8,Multivariable Calculus,Ellipse,"Find an equation of the ellipse specified. Foci (-2, 2) and (4, 2), eccentricity 1/3","Write a program that Find an equation of the ellipse specified. Foci (-2, 2) and (4, 2), eccentricity 1/3",(x-1)^2/81 + (y-2)^2/72 = 1,"import math

def find_equation_of_ellipse(foci1, foci2, eccentricity):
    """"""
    Find an equation of the ellipse specified. Foci (-2, 2) and (4, 2), eccentricity 1/3
    """"""
    # Find the center of the ellipse
    center_x = (foci1[0] + foci2[0]) / 2
    center_y = (foci1[1] + foci2[1]) / 2

    # Find the distance between the foci
    distance_between_foci = math.sqrt((foci1[0] - foci2[0])**2 + (foci1[1] - foci2[1])**2)

    # Find the length of the major axis
    length_of_major_axis = distance_between_foci / (2 * eccentricity)

    # Find the length of the minor axis
    length_of_minor_axis = math.sqrt(length_of_major_axis**2 - distance_between_foci**2)

    # Find the equation of the ellipse
    equation_of_ellipse = (
        ""(x - "" + str(center_x) + "")^2 / "" + str(length_of_major_axis**2) +
        "" + (y - "" + str(center_y) + "")^2 / "" + str(length_of_minor_axis**2) +
        "" = 1""
    )

    return equation_of_ellipse

print(find_equation_of_ellipse((-2, 2), (4, 2), 1/3))","1. Find the center of the ellipse
2. Find the distance between the foci
3. Find the length of the major axis
4. Find the length of the minor axis
5. Find the equation of the ellipse",Correct,Automatic Zero Shot,(x - 2)^2/9 + (y - 2)^2/4 = 1,Incorrect,"[2, 6, 23, 4, 21, 11, 22, 17, 12, 7, 24, 16, 19, 14, 25, 3, 10, 20, 5, 9, 13, 15, 1, 18]"
9,Multivariable Calculus,Functions of Several Variables,"Describe the graph of the function f. f(x,y) = $10 - \sqrt[2]{x^2+y^2}$","Describe the graph of the function f. f(x,y) = $10 - \sqrt[2]{x^2+y^2}$",Graph,"import numpy as np
import matplotlib.pyplot as plt
from mpl_toolkits.mplot3d import Axes3D

fig = plt.figure()
ax = fig.add_subplot(111, projection='3d')

x = np.linspace(-5, 5, 100)
y = np.linspace(-5, 5, 100)

X, Y = np.meshgrid(x, y)
Z = 10 - np.sqrt(X**2 + Y**2)

ax.plot_surface(X, Y, Z, rstride=1, cstride=1, cmap='hot')

plt.show()","1. Create a figure object
2. Add a subplot to the figure object
3. Create a meshgrid of x and y values
4. Calculate the z values for the meshgrid
5. Plot the graph",Correct,Automatic Zero Shot,The graph of the function f is a parabola.,Incorrect,"[19, 24, 8, 7, 12, 2, 22, 23, 6, 14, 4, 1, 21, 16, 11, 20, 17, 13, 15, 25, 3, 5, 10, 18]"
10,Multivariable Calculus,Infinite Series and Convergence,"Determine whether the given infinite series converges or diverges. If it converges, find its sum. 1 + 3 + 5 + 7 + ... + (2n-1) + ....","Using sympy, determine if the sequence s_n = 2n-1 diverges by showing the value of the limit as n goes to infinity. If the limit is infinity, then print diverges. Otherwise print converges.",diverges,"from sympy import limit, oo

def sequence_diverges(sequence):
    """"""
    Determine if the sequence s_n = 2n-1 diverges by showing the value of the limit as n goes to infinity.
    If the limit is infinity, then print diverges. Otherwise print converges.
    """"""
    limit_value = limit(sequence, n, oo)
    if limit_value == oo:
        print(""diverges"")
    else:
        print(""converges"")

sequence_diverges(2*n-1)","1. The limit function takes a sequence and a value of n and returns the value of the limit as n goes to infinity.
2. The limit function returns oo if the sequence diverges.
3. If the limit is oo, then the sequence diverges.
4. If the limit is not oo, then the sequence converges.",Correct,Manual,The series diverges.,Incorrect,"[21, 15, 14, 22, 13, 16, 11, 12, 19, 2, 23, 8, 6, 24, 1, 7, 4, 3, 18, 9, 25, 20, 5, 17]"
