Id,Course,Topic,Original Problem,Solution,Codex Input,Codex Code,Codex Code Explanation,Output Evaluation,Solution Type,GPT-3 Response,GPT-3 Evaluation,Nearest Questions
1,Introduction to Probability and Statistics,Probability,Calculate the probability of getting a three-of-a-kind poker hand.,0.021128,"Create a card deck.
For 10000 iterations creating the deck each time calculate the probability of getting 3 of a kind in a 5 card poker hand.","import random

def create_deck():
    """"""
    Create a deck of cards.
    """"""
    deck = []
    for suit in range(4):
        for rank in range(1, 14):
            deck.append((suit, rank))
    return deck

def deal_hand(deck):
    """"""
    Deal a hand of 5 cards from the deck.
    """"""
    hand = []
    for i in range(5):
        hand.append(deck.pop(random.randrange(len(deck))))
    return hand

def get_rank_counts(hand):
    """"""
    Get the number of cards of each rank in the hand.
    """"""
    rank_counts = {}
    for card in hand:
        rank = card[1]
        if rank in rank_counts:
            rank_counts[rank] += 1
        else:
            rank_counts[rank] = 1
    return rank_counts

def has_three_of_a_kind(hand):
    """"""
    Check if the hand has 3 cards of the same rank.
    """"""
    rank_counts = get_rank_counts(hand)
    for rank in rank_counts:
        if rank_counts[rank] == 3:
            return True
    return False

def main():
    """"""
    Main program.
    """"""
    num_iterations = 10000
    num_three_of_a_kind = 0
    for i in range(num_iterations):
        deck = create_deck()
        hand = deal_hand(deck)
        if has_three_of_a_kind(hand):
            num_three_of_a_kind += 1
    print(""Probability of getting 3 of a kind in a 5 card poker hand:"", num_three_of_a_kind / num_iterations)

if __name__ == ""__main__"":
    main()","1. Create a deck of cards.
2. Deal a hand of 5 cards from the deck.
3. Check if the hand has 3 cards of the same rank.
4. Repeat steps 2 and 3 10000 times.
5. Calculate the probability of getting 3 of a kind in a 5 card poker hand.",Correct,Automatic Zero-shot,"There are 13 possible values for a three-of-a-kind poker hand:

2, 3, 4, 5, 6, 7, 8, 9, 10, Jack, Queen, King, Ace

There are 4 suits, so there are 4 ways to choose 1 suit.

There are 4*13 = 52 ways to choose 3 cards from a deck of 52 cards.

There are C(52,3) = 52!/(3!*49!) = 2,598,960 ways to choose 3 cards from a deck of 52 cards.

The probability of getting a three-of-a-kind poker hand is 4/52 = 1/13.",Incorrect,"[25, 5, 2, 3, 4, 8, 6, 7, 24, 21, 17, 18, 22, 9, 12, 19, 20, 14, 13, 11, 23, 10, 15, 16]"
2,Introduction to Probability and Statistics,Probability,In class we worked with non-transitive dice: Red: 3 3 3 3 3 6; Green: 1 4 4 4 4 4; White: 2 2 2 5 5 5. Find the probability that white beats green.,0.583333333,"Given non-transitive dice: Red: 3 3 3 3 3 6; Green: 1 4 4 4 4 4; White: 2 2 2 5 5 5, write a program that computes the probability that white beats green.","import random

def roll(die):
    return random.choice(die)

def simulate(n):
    red = [3, 3, 3, 3, 3, 6]
    green = [1, 4, 4, 4, 4, 4]
    white = [2, 2, 2, 5, 5, 5]
    wins = 0
    for i in range(n):
        if roll(white) > roll(green):
            wins += 1
    return wins / n

print(simulate(10000))","1. Define a function roll that takes a die as an argument and returns a random roll of that die.
2. Define a function simulate that takes a number of trials as an argument and returns the fraction of trials that white beats green.
3. Print the result of calling simulate with 10000 as the argument.",Correct,Automatic Zero-shot,The probability that white beats green is 3/5.,Incorrect,"[3, 6, 7, 8, 9, 18, 24, 17, 21, 12, 20, 22, 19, 5, 4, 14, 1, 13, 15, 25, 11, 23, 16, 10]"
3,Introduction to Probability and Statistics,Probability,In class we worked with non-transitive dice: Red: 3 3 3 3 3 6; Green: 1 4 4 4 4 4; White: 2 2 2 5 5 5. Find the probability that green beats red.,0.694444444,In class we worked with non-transitive dice: Red: 3 3 3 3 3 6; Green: 1 4 4 4 4 4; White: 2 2 2 5 5 5. Simulate the probability that green beats red.,"import random

def roll_dice(dice):
    return random.choice(dice)

def simulate_dice(dice1, dice2, trials):
    dice1_wins = 0
    for i in range(trials):
        if roll_dice(dice1) > roll_dice(dice2):
            dice1_wins += 1
    return dice1_wins / trials

red = [3, 3, 3, 3, 3, 6]
green = [1, 4, 4, 4, 4, 4]
white = [2, 2, 2, 5, 5, 5]

print(simulate_dice(green, red, 100000))","1. Define a function that takes a list of dice and returns a random value from that list.
2. Define a function that takes two lists of dice and a number of trials.
3. Run the simulation a number of times and return the probability that the first dice wins.
",Correct,Automatic Zero-shot,The probability that green beats red is 3/5.,Incorrect,"[2, 6, 7, 8, 9, 24, 18, 21, 17, 12, 20, 22, 19, 5, 4, 14, 1, 13, 15, 25, 11, 23, 16, 10]"
4,Introduction to Probability and Statistics,Conditional Probability,Mr. Jones has two children. The older child is a girl. What is the probability that both children are girls?,0.5,"Mr. Jones has two children. At least one of them is a girl. Using simulations, what is the probability that both children are girls?","import random

def random_kid():
    return random.choice([""boy"", ""girl""])

both_girls = 0
older_girl = 0
either_girl = 0

random.seed(0)
for _ in range(10000):
    younger = random_kid()
    older = random_kid()
    if older == ""girl"":
        older_girl += 1
    if older == ""girl"" and younger == ""girl"":
        both_girls += 1
    if older == ""girl"" or younger == ""girl"":
        either_girl += 1

print(""P(both | older):"", both_girls / older_girl)
print(""P(both | either): "", both_girls / either_girl)","1. We start by initializing the variables both_girls, older_girl, and either_girl to 0.
2. We then loop 10000 times, each time randomly choosing a kid to be older and another to be younger.
3. If the older kid is a girl, we increment older_girl.
4. If both kids are girls, we increment both_girls.
5. If at least one of the kids is a girl, we increment either_girl.
6. Finally, we print the probabilities of both kids being girls given that the older kid is a girl, and given that at least one kid is a girl.",Correct,Automatic Zero-shot,There is a 1/4 chance that both children are girls.,Incorrect,"[5, 24, 7, 25, 2, 3, 6, 8, 18, 17, 1, 22, 21, 19, 14, 9, 13, 20, 12, 15, 11, 16, 23, 10]"
5,Introduction to Probability and Statistics,Conditional Probability,Mr. Smith has two children. At least one of them is a boy. What is the probability that both children are boys?,0.333333333,"Mr. Smith has two children. At least one of them is a boy. Using simulations, what is the probability that both children are boys?","import random

def random_kid():
    return random.choice([""boy"", ""girl""])

both_girls = 0
older_girl = 0
either_girl = 0

random.seed(0)
for _ in range(10000):
    younger = random_kid()
    older = random_kid()
    if older == ""girl"":
        older_girl += 1
    if older == ""girl"" and younger == ""girl"":
        both_girls += 1
    if older == ""girl"" or younger == ""girl"":
        either_girl += 1

print(""P(both | older):"", both_girls / older_girl)      # 0.514 ~ 1/2
print(""P(both | either): "", both_girls / either_girl)   # 0.342 ~ 1/3","1. We start by initializing the variables both_girls, older_girl, and either_girl to 0.
2. We then simulate 10,000 families, and for each family we simulate two children.
3. If the older child is a girl, we increment older_girl.
4. If both children are girls, we increment both_girls.
5. If at least one of the children is a girl, we increment either_girl.
6. Finally, we compute the probabilities we are interested in.",Correct,Automatic Zero-shot,There is a 50% chance that both children are boys.,Incorrect,"[4, 24, 7, 6, 25, 8, 2, 3, 18, 17, 1, 22, 21, 19, 9, 20, 14, 12, 13, 11, 15, 23, 10, 16]"
6,Introduction to Probability and Statistics,"Discrete Random Variables, Standard Deviation",Let X be the result of rolling a fair 4-sided die. Let Y be the result of rolling a fair 6-sided die. Let Z be the average of X and Y. Find the standard deviation of X.,1.118,Let X be the result of rolling a fair 4-sided die. What is the standard deviation of X after 100000 rolls.,"import numpy as np

def roll_die():
    return np.random.randint(1, 5)

def roll_die_100000_times():
    return [roll_die() for _ in range(100000)]

def standard_deviation(numbers):
    return np.std(numbers)

def main():
    print(standard_deviation(roll_die_100000_times()))

if __name__ == '__main__':
    main()","1. It's defining a function called roll_die() that returns a random integer between 1 and 4.
2. It's defining a function called roll_die_100000_times() that returns a list of 100000 random integers between 1 and 4.
3. It's defining a function called standard_deviation() that returns the standard deviation of a list of numbers.
4. It's defining a function called main() that prints the standard deviation of the list of 100000 random integers between 1 and 4.
5. It's calling the main() function.",Correct,Automatic Zero-shot,The standard deviation of X is 1.41.,Incorrect,"[7, 8, 9, 24, 2, 3, 18, 17, 19, 20, 12, 21, 22, 5, 14, 13, 4, 1, 15, 25, 11, 23, 10, 16]"
7,Introduction to Probability and Statistics,"Discrete Random Variables, Standard Deviation",Let X be the result of rolling a fair 4-sided die. Let Y be the result of rolling a fair 6-sided die. Let Z be the average of X and Y. Find the standard deviation of Y.,1.708,Let Y be the result of rolling a fair 6-sided die.Find the standard deviation of Y after simulating 100000 times.,"import numpy as np

def std_dev(n):
    return np.std(np.random.randint(1,7,n))

print(std_dev(100000))","1.   def std_dev(n):
        return np.std(np.random.randint(1,7,n))

This is a function that takes in a number n and returns the standard deviation of n random integers between 1 and 6.

2.   print(std_dev(100000))",Correct,Automatic Zero-shot,The standard deviation of Y is 2.,Incorrect,"[6, 8, 9, 24, 2, 3, 18, 17, 19, 20, 12, 21, 22, 5, 14, 4, 13, 1, 25, 15, 11, 23, 10, 16]"
8,Introduction to Probability and Statistics,"Discrete Random Variables, Standard Deviation",Let X be the result of rolling a fair 4-sided die. Let Y be the result of rolling a fair 6-sided die. Let Z be the average of X and Y. Find the standard deviation of Z.,1.021,Let X be the result of rolling a fair 4-sided die. Let Y be the result of rolling a fair 6-sided die. Let Z be the average of X and Y. Find the standard deviation of Z after simulating 100000 times.,"import random

def roll_die(sides):
    return random.randint(1, sides)

def simulate_rolls(sides1, sides2, num_trials):
    results = []
    for _ in range(num_trials):
        results.append((roll_die(sides1) + roll_die(sides2)) / 2)
    return results

def standard_deviation(nums):
    mean = sum(nums) / len(nums)
    squared_diffs = [(num - mean) ** 2 for num in nums]
    return (sum(squared_diffs) / len(nums)) ** 0.5

print(standard_deviation(simulate_rolls(4, 6, 100000)))","1. def roll_die(sides):
    return random.randint(1, sides)

This function takes in a number of sides and returns a random number between 1 and that number.

2. def simulate_rolls(sides1, sides2, num_trials):
    results = []
    for _ in range(num_trials):
        results.append((roll_die(sides1) + roll_die(sides2)) / 2)
    return results

This function takes in two numbers of sides and a number of trials. It returns a list of the averages of the two dice rolls.

3. def standard_deviation(nums):
    mean = sum(nums) / len(nums)
    squared_diffs = [(num - mean) ** 2 for num in nums]
    return (sum(squared_diffs) / len(nums)) ** 0.5

This function takes in a list of numbers and returns the standard deviation of those numbers.

4. print(standard_deviation(simulate_rolls(4, 6, 100000)))

This line prints the standard deviation of the averages of the two dice rolls.
",Correct,Automatic Zero-shot,The standard deviation of Z is 2.5.,Incorrect,"[6, 7, 9, 2, 24, 3, 18, 17, 19, 20, 12, 21, 22, 5, 14, 13, 4, 1, 25, 11, 15, 23, 10, 16]"
9,Introduction to Probability and Statistics,"Discrete Random Variables, Expectation","Let X be the result of rolling a fair 4-sided die. Let Y be the result of rolling a fair 6-sided die. You win 2X dollars if X>Y and lose 1 dollar otherwise. After playing this game 60 times, what is your expected total gain?",55,"Let X be the result of rolling a fair 4-sided die. Let Y be the result of rolling a fair 6-sided die. You win 2X dollars if X>Y and lose 1 dollar otherwise. After playing this game 60 times, what is your expected total gain?
Simulate 100000 times","import random

def roll_die(sides):
    return random.randint(1, sides)

def play_game(sides1, sides2):
    x = roll_die(sides1)
    y = roll_die(sides2)
    if x > y:
        return 2 * x
    else:
        return -1

def play_game_n_times(sides1, sides2, n):
    total = 0
    for i in range(n):
        total += play_game(sides1, sides2)
    return total

def play_game_n_times_simulation(sides1, sides2, n, simulations):
    total = 0
    for i in range(simulations):
        total += play_game_n_times(sides1, sides2, n)
    return total / simulations

print(play_game_n_times_simulation(4, 6, 60, 100000))","1. It's creating a class called Die.
2. It's defining a constructor for the class.
3. It's defining a method called roll.
4. It's defining a method called get_num_sides.
5. It's defining a method called set_num_sides.",Correct,Automatic Zero-shot,Your expected total gain is 30 dollars.,Incorrect,"[6, 7, 8, 22, 21, 2, 3, 24, 19, 17, 18, 20, 12, 5, 13, 14, 4, 15, 11, 25, 10, 16, 1, 23]"
10,Introduction to Probability and Statistics,"Counting, Continuous Variables","Boxes of Raisin Bran cereal are 30cm tall. Due to settling, boxes have a higher density of raisins at the bottom (h = 0) than at the top (h = 30). Suppose the density (in raisins per cm of height) is given by f(h) = 40 − h. How many raisins are in a box?",750,"Boxes of Raisin Bran cereal are 30cm tall. Due to settling, boxes have a higher density of raisins at the bottom (h = 0) than at the top (h = 30). Suppose the density (in raisins per cm of height) is given by f(h) = 40 − h. Integrate from 0 to 30 to find how many raisins are in the box.","def f(h):
    return 40 - h

def F(h):
    return 40*h - h**2/2

print(F(30) - F(0))","1. Define a function f(h) that returns the density of raisins at height h.
2. Define a function F(h) that returns the number of raisins between 0 and h.
3. Print the number of raisins between 0 and 30.",Correct,Automatic Zero-shot,There are 1200 raisins in a box.,Incorrect,"[11, 17, 18, 21, 22, 23, 12, 24, 20, 19, 7, 6, 8, 9, 2, 3, 15, 14, 13, 16, 5, 4, 1, 25]"
